Park,Unit Code,Park Type,Region,State,Year,Month,Recreation Visits
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1979,1,7589
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1979,2,10986
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1979,3,17856
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1979,4,19940
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1979,5,12927
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1979,6,13848
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1979,7,16945
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1979,8,14547
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1979,9,10686
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1979,10,12820
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1979,11,7064
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1979,12,5915
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1980,1,7012
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1980,2,8383
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1980,3,10594
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1980,4,14360
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1980,5,12704
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1980,6,13313
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1980,7,14142
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1980,8,12815
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1980,9,8802
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1980,10,11045
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1980,11,7417
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1980,12,6113
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1981,1,7337
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1981,2,7028
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1981,3,10836
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1981,4,11405
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1981,5,10226
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1981,6,10509
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1981,7,10851
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1981,8,13321
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1981,9,9926
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1981,10,10625
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1981,11,6600
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1981,12,5033
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1982,1,4491
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1982,2,5907
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1982,3,8230
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1982,4,8721
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1982,5,10190
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1982,6,8241
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1982,7,12661
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1982,8,14653
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1982,9,6782
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1982,10,11760
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1982,11,7116
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1982,12,5301
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1983,1,5340
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1983,2,6063
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1983,3,9204
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1983,4,9236
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1983,5,10937
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1983,6,8627
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1983,7,14535
Andersonville NHS,ANDE,National Historic Site,Southeast,GA,1983,8,16192
